IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001658,0.004235,0.000507,0.003445,0.000173,0.007079,0.004759,8.9e-05
0.00184,0.004232,0.000506,0.003703,0.000254,0.007075,0.004756,8.9e-05
0.00202,0.004227,0.000506,0.003099,0.000209,0.007069,0.00475,8.8e-05
0.001807,0.004223,0.000505,0.00352,0.000303,0.007065,0.004746,8.8e-05
0.001844,0.004218,0.000505,0.00308,0.000293,0.007059,0.004741,8.8e-05
0.001708,0.004213,0.000504,0.002896,0.000236,0.007052,0.004735,8.8e-05
0.001727,0.004209,0.000504,0.003262,0.000352,0.007047,0.00473,8.8e-05
0.001863,0.004208,0.000504,0.004476,0.00031,0.007046,0.004729,8.8e-05
0.00182,0.004206,0.000503,0.003895,0.000445,0.007043,0.004727,8.8e-05
0.001806,0.004203,0.000503,0.003977,0.000422,0.00704,0.004724,8.8e-05
0.001829,0.004201,0.000503,0.00393,0.000447,0.007038,0.004722,8.8e-05
0.001776,0.004199,0.000502,0.004007,0.000383,0.007035,0.004719,8.8e-05
0.001766,0.004199,0.000502,0.004543,0.000374,0.007034,0.004718,8.8e-05
0.001749,0.004198,0.000502,0.004462,0.00042,0.007033,0.004717,8.8e-05
0.001854,0.004196,0.000502,0.004086,0.000502,0.007031,0.004715,8.8e-05
0.001859,0.004194,0.000501,0.004134,0.000481,0.007029,0.004713,8.7e-05
